x,y,r
-2.100000000,-1.454922678,0.121800000
-1.680000000,-1.454922678,0.121800000
-1.260000000,-1.454922678,0.121800000
-0.840000000,-1.454922678,0.121800000
-0.420000000,-1.454922678,0.121800000
0.000000000,-1.454922678,0.121800000
0.420000000,-1.454922678,0.121800000
0.840000000,-1.454922678,0.121800000
1.260000000,-1.454922678,0.121800000
1.680000000,-1.454922678,0.121800000
2.100000000,-1.454922678,0.121800000
-1.890000000,-1.091192009,0.121800000
-1.470000000,-1.091192009,0.121800000
-1.050000000,-1.091192009,0.121800000
-0.630000000,-1.091192009,0.121800000
-0.210000000,-1.091192009,0.121800000
0.210000000,-1.091192009,0.121800000
0.630000000,-1.091192009,0.121800000
1.050000000,-1.091192009,0.121800000
1.470000000,-1.091192009,0.121800000
1.890000000,-1.091192009,0.121800000
2.310000000,-1.091192009,0.121800000
-2.100000000,-0.727461339,0.121800000
-1.680000000,-0.727461339,0.121800000
-1.260000000,-0.727461339,0.121800000
-0.840000000,-0.727461339,0.121800000
-0.420000000,-0.727461339,0.121800000
0.000000000,-0.727461339,0.121800000
0.420000000,-0.727461339,0.121800000
0.840000000,-0.727461339,0.121800000
1.260000000,-0.727461339,0.121800000
1.680000000,-0.727461339,0.121800000
2.100000000,-0.727461339,0.121800000
-1.890000000,-0.363730670,0.121800000
-1.470000000,-0.363730670,0.121800000
-1.050000000,-0.363730670,0.121800000
-0.630000000,-0.363730670,0.121800000
-0.210000000,-0.363730670,0.121800000
0.210000000,-0.363730670,0.121800000
0.630000000,-0.363730670,0.121800000
1.050000000,-0.363730670,0.121800000
1.470000000,-0.363730670,0.121800000
1.890000000,-0.363730670,0.121800000
2.310000000,-0.363730670,0.121800000
-2.100000000,0.000000000,0.121800000
-1.680000000,0.000000000,0.121800000
-1.281000000,0.000000000,0.117600000
-0.903000000,0.000000000,0.117600000
0.903000000,0.000000000,0.117600000
1.281000000,0.000000000,0.117600000
1.680000000,0.000000000,0.121800000
2.100000000,0.000000000,0.121800000
-1.890000000,0.363730670,0.121800000
-1.470000000,0.363730670,0.121800000
-1.050000000,0.363730670,0.121800000
-0.630000000,0.363730670,0.121800000
-0.210000000,0.363730670,0.121800000
0.210000000,0.363730670,0.121800000
0.630000000,0.363730670,0.121800000
1.050000000,0.363730670,0.121800000
1.470000000,0.363730670,0.121800000
1.890000000,0.363730670,0.121800000
2.310000000,0.363730670,0.121800000
-2.100000000,0.727461339,0.121800000
-1.680000000,0.727461339,0.121800000
-1.260000000,0.727461339,0.121800000
-0.840000000,0.727461339,0.121800000
-0.420000000,0.727461339,0.121800000
0.000000000,0.727461339,0.121800000
0.420000000,0.727461339,0.121800000
0.840000000,0.727461339,0.121800000
1.260000000,0.727461339,0.121800000
1.680000000,0.727461339,0.121800000
2.100000000,0.727461339,0.121800000
-1.890000000,1.091192009,0.121800000
-1.470000000,1.091192009,0.121800000
-1.050000000,1.091192009,0.121800000
-0.630000000,1.091192009,0.121800000
-0.210000000,1.091192009,0.121800000
0.210000000,1.091192009,0.121800000
0.630000000,1.091192009,0.121800000
1.050000000,1.091192009,0.121800000
1.470000000,1.091192009,0.121800000
1.890000000,1.091192009,0.121800000
2.310000000,1.091192009,0.121800000
-2.100000000,1.454922678,0.121800000
-1.680000000,1.454922678,0.121800000
-1.260000000,1.454922678,0.121800000
-0.840000000,1.454922678,0.121800000
-0.420000000,1.454922678,0.121800000
0.000000000,1.454922678,0.121800000
0.420000000,1.454922678,0.121800000
0.840000000,1.454922678,0.121800000
1.260000000,1.454922678,0.121800000
1.680000000,1.454922678,0.121800000
2.100000000,1.454922678,0.121800000
