# nx=151 ny=115 xmin=-7.5 xmax=7.5 ymin=-5.7141016151377544 ymax=5.7141016151377544 z=0 component=ey freq=0.26000000000000001
x,y,re,im,abs
-1.0927152317880795,-5.6644137750061221,0,0,0
-0.9933774834437088,-5.6644137750061221,0,0,0
-0.8940397350993381,-5.6644137750061221,0,0,0
-0.79470198675496739,-5.6644137750061221,0,0,0
-0.69536423841059669,-5.6644137750061221,0,0,0
-0.59602649006622599,-5.6644137750061221,0,0,0
-0.4966887417218544,-5.6644137750061221,0,0,0
-0.3973509933774837,-5.6644137750061221,0,0,0
-0.29801324503311299,-5.6644137750061221,0,0,0
-0.19867549668874229,-5.6644137750061221,0,0,0
-0.09933774834437159,-5.6644137750061221,0,0,0
-8.8817841970012523e-16,-5.6644137750061221,0,0,0
0.099337748344370702,-5.6644137750061221,0,0,0
0.1986754966887414,-5.6644137750061221,0,0,0
0.29801324503311211,-5.6644137750061221,0,0,0
0.39735099337748281,-5.6644137750061221,0,0,0
0.49668874172185351,-5.6644137750061221,0,0,0
0.59602649006622421,-5.6644137750061221,0,0,0
0.6953642384105958,-5.6644137750061221,0,0,0
0.79470198675496562,-5.6644137750061221,0,0,0
0.89403973509933721,-5.6644137750061221,0,0,0
0.9933774834437088,-5.6644137750061221,0,0,0
1.0927152317880786,-5.6644137750061221,0,0,0
1.1920529801324502,-5.6644137750061221,0,0,0
1.29139072847682,-5.6644137750061221,0,0,0
1.3907284768211916,-5.6644137750061221,0,0,0
1.4900662251655632,-5.6644137750061221,0,0,0
1.589403973509933,-5.6644137750061221,0,0,0
1.6887417218543046,-5.6644137750061221,0,0,0
1.7880794701986744,-5.6644137750061221,0,0,0
1.887417218543046,-5.6644137750061221,0,0,0
1.9867549668874158,-5.6644137750061221,0,0,0
2.0860927152317874,-5.6644137750061221,0,0,0
2.185430463576159,-5.6644137750061221,0,0,0
2.2847682119205288,-5.6644137750061221,0,0,0
2.3841059602649004,-5.6644137750061221,0,0,0
2.4834437086092702,-5.6644137750061221,0,0,0
2.5827814569536418,-5.6644137750061221,0,0,0
2.6821192052980134,-5.6644137750061221,0,0,0
2.7814569536423832,-5.6644137750061221,0,0,0
2.8807947019867548,-5.6644137750061221,0,0,0
2.9801324503311246,-5.6644137750061221,0,0,0
3.0794701986754962,-5.6644137750061221,0,0,0
3.178807947019866,-5.6644137750061221,0,0,0
3.2781456953642376,-5.6644137750061221,0,0,0
3.3774834437086092,-5.6644137750061221,0,0,0
3.476821192052979,-5.6644137750061221,0,0,0
3.5761589403973506,-5.6644137750061221,0,0,0
3.6754966887417204,-5.6644137750061221,0,0,0
3.774834437086092,-5.6644137750061221,0,0,0
3.8741721854304636,-5.6644137750061221,0,0,0
3.9735099337748334,-5.6644137750061221,0,0,0
4.072847682119205,-5.6644137750061221,0,0,0
4.1721854304635748,-5.6644137750061221,0,0,0
4.2715231788079464,-5.6644137750061221,0,0,0
4.370860927152318,-5.6644137750061221,0,0,0
4.4701986754966878,-5.6644137750061221,0,0,0
4.5695364238410594,-5.6644137750061221,0,0,0
4.6688741721854292,-5.6644137750061221,0,0,0
4.7682119205298008,-5.6644137750061221,0,0,0
4.8675496688741706,-5.6644137750061221,0,0,0
4.9668874172185422,-5.6644137750061221,0,0,0
5.0662251655629138,-5.6644137750061221,0,0,0
5.1655629139072836,-5.6644137750061221,0,0,0
5.2649006622516552,-5.6644137750061221,0,0,0
5.364238410596025,-5.6644137750061221,0,0,0
5.4635761589403966,-5.6644137750061221,0,0,0
5.5629139072847682,-5.6644137750061221,0,0,0
5.662251655629138,-5.6644137750061221,0,0,0
5.7615894039735096,-5.6644137750061221,0,0,0
5.8609271523178794,-5.6644137750061221,0,0,0
5.960264900662251,-5.6644137750061221,0,0,0
