# dt=0.025000000000000001 sample_every_steps=10 sample_dt=0.25 start_time=75
# probe0 label=center component=ey x=0 y=0 z=0
# probe1 label=x+0.25 component=ey x=0.25 y=0 z=0
# probe2 label=y+0.25 component=ey x=0 y=0.25 z=0
t,re0,im0,re1,im1,re2,im2
75,-16.043648603779069,-0.48158960378114707,-4.7152463740293999,-0.43521562147348775,-5.6415269290877044,-0.51340247238049941
75.25,3.4963834369687126,2.3298280749103695,-4.4853361592244099,1.5280883922603294,-5.3660960237471667,1.8112066715153372
75.5,-5.3023666329362786,5.3430655081093272,-3.5114084176284779,3.2188846321725291,-4.1387993937949954,3.7990319732006457
75.75,0.21748899997097743,6.8516521269378146,-2.005178738965701,4.4233653126819545,-2.2264637808899481,5.122914166380423
76,2.9508295842778423,7.6198333153425448,0.085810774975519602,4.8288242800395018,0.093933205268754344,5.573278439918016
76.25,6.5880981661336655,6.9701813369605334,2.2610561510218261,4.336544214276179,2.2081663921085308,5.0487685066744046
76.5,8.0796219888703575,5.0448511327120604,3.4316493720571826,3.1446329933435972,4.2197245248594744,3.7159312552632451
76.75,10.787814306283611,2.3076679833874385,4.601658773235175,1.4433341709987881,5.0221771655675145,1.688236421760378
77,10.333322777496081,-0.85436009652032574,4.8959830261570989,-0.53780508528191262,5.7421399628725283,-0.59876809463256653
77.25,9.6774132646996573,-3.8809625801664014,3.8343939678596026,-2.3991412248605553,4.5982164556486342,-2.7810486538917187
77.5,7.6264063798308062,-6.3018181303529381,3.2342678737381871,-3.9029127953852276,3.3826897023667133,-4.4987360043081859
77.75,4.6491874151783996,-7.5760461921956246,0.75359931220436449,-4.6991953363933128,0.94347851568186547,-5.4710785343875852
78,1.2651192132062778,-7.6324434776467989,-0.90459218064347824,-4.7228107966333166,-0.95800277634660724,-5.4848218111981115
78.25,-1.3802071751680809,-6.3309966417669301,-2.8311564043097892,-3.865286907859252,-3.414992655529387,-4.5202516289262054
78.5,-3.6768337728359208,-4.0029403860478068,-4.1375114617665929,-2.4026424250287315,-4.8642489258618049,-2.8457599274822982
78.75,-4.8223614233751659,-0.94376215189800583,-4.8379708274103068,-0.51485768048185765,-5.6842620637692818,-0.64987434009201683
79,-4.2556429872109955,2.2103317751357507,-4.4008910715328584,1.5037790212055018,-5.211917897624712,1.6914140831092603
79.25,-2.9413919161800681,5.0690596017963365,-3.7880550208589172,3.2005259917917797,-4.4865101853645761,3.7034747834841308
79.5,-0.2724897922113852,6.9275253210023813,-1.7325842695671585,4.4046791732477111,-2.2036017922982212,5.0943222199289275
79.75,2.8950078335997071,7.6998438625432106,-0.15531161876325741,4.8134468531301282,-0.17915824289485532,5.6095337619842596
80,5.9158771434869362,7.0457402453768729,2.0745476224165231,4.4059174308052071,2.1057802807269974,5.144748612755464
80.25,8.7110998645442628,5.2423007927613696,3.48813028166522,3.2532122331317526,4.1004817429554006,3.8422283862615423
80.5,10.210996653700292,2.4766492540965639,4.6378908815573503,1.518865940432327,5.19324945778411,1.8393390783327215
80.75,10.723398326744963,-0.69936015819993536,4.8424274178446716,-0.44555615954354316,5.6472614189366119,-0.47110676331640777
81,9.749293037235315,-3.7456570985771309,4.1565275332629454,-2.3970680951352286,4.7620984925526582,-2.6906707716815528
81.25,7.6733823221558914,-6.2239550364632787,3.0007352273367287,-3.8609805136918842,3.4198449120119903,-4.4665486642953649
81.5,4.8352204387391478,-7.5918242850905147,0.97393277799715605,-4.7147238462696199,1.2762606179789486,-5.4450378376163346
81.75,1.5045183437648484,-7.6622374503507551,-0.87644376779493383,-4.7406985562714583,-1.0990146078442162,-5.5348396656820738
82,-1.3496157025487676,-6.474456181673478,-2.7371043385947198,-3.9473323484437177,-3.1952614094206115,-4.6474125681514646
82.25,-3.5355864488373481,-4.1426584307539809,-4.2007176881507284,-2.4689785998658929,-4.7668049671761867,-2.949081770208962
82.5,-4.8178995410277681,-1.1152423679479373,-4.7127407978660187,-0.60209194703862545,-5.7660485058883406,-0.76628139728077937
82.75,-4.3634159058715722,2.0573671788088124,-4.5765402914114111,1.4188899248409912,-5.2675944924198479,1.5570920297067907
83,-3.0168410380920312,4.9214127563133072,-3.7254023799262557,3.1594624075710525,-4.4880416012327267,3.6270126222764874
83.25,-0.45378690750947981,6.8937350639684016,-1.9591322858698237,4.3822346633448301,-2.45116047786169,5.0469646850219281
