# nx=101 ny=81 xmin=-5 xmax=5 ymin=-4 ymax=4 z=0 component=ey freq=0.26000000000000001
x,y,re,im,abs
-4.9504950495049505,-3.9506172839506171,0,0,0
-4.8514851485148514,-3.9506172839506171,0,0,0
-4.7524752475247523,-3.9506172839506171,0,0,0
-4.6534653465346532,-3.9506172839506171,0,0,0
-4.5544554455445541,-3.9506172839506171,0,0,0
-4.4554455445544559,-3.9506172839506171,0,0,0
-4.3564356435643568,-3.9506172839506171,0,0,0
-4.2574257425742577,-3.9506172839506171,0,0,0
-4.1584158415841586,-3.9506172839506171,0,0,0
-4.0594059405940595,-3.9506172839506171,0,0,0
-3.9603960396039604,-3.9506172839506171,0,0,0
-3.8613861386138613,-3.9506172839506171,0,0,0
-3.7623762376237622,-3.9506172839506171,0,0,0
-3.6633663366336631,-3.9506172839506171,0,0,0
-3.564356435643564,-3.9506172839506171,0,0,0
-3.4653465346534653,-3.9506172839506171,0,0,0
-3.3663366336633662,-3.9506172839506171,0,0,0
-3.2673267326732676,-3.9506172839506171,0,0,0
-3.1683168316831685,-3.9506172839506171,0,0,0
-3.0693069306930694,-3.9506172839506171,0,0,0
-2.9702970297029703,-3.9506172839506171,0,0,0
-2.8712871287128712,-3.9506172839506171,0,0,0
-2.7722772277227721,-3.9506172839506171,0,0,0
-2.673267326732673,-3.9506172839506171,0,0,0
-2.5742574257425743,-3.9506172839506171,0,0,0
-2.4752475247524752,-3.9506172839506171,0,0,0
-2.3762376237623761,-3.9506172839506171,0,0,0
-2.277227722772277,-3.9506172839506171,0,0,0
-2.1782178217821779,-3.9506172839506171,0,0,0
-2.0792079207920793,-3.9506172839506171,0,0,0
-1.9801980198019802,-3.9506172839506171,0,0,0
-1.8811881188118811,-3.9506172839506171,0,0,0
-1.782178217821782,-3.9506172839506171,0,0,0
-1.6831683168316829,-3.9506172839506171,0,0,0
-1.5841584158415838,-3.9506172839506171,0,0,0
-1.4851485148514851,-3.9506172839506171,0,0,0
-1.386138613861386,-3.9506172839506171,0,0,0
-1.2871287128712869,-3.9506172839506171,0,0,0
-1.1881188118811878,-3.9506172839506171,0,0,0
-1.0891089108910887,-3.9506172839506171,0,0,0
-0.99009900990099009,-3.9506172839506171,0,0,0
-0.89108910891089099,-3.9506172839506171,0,0,0
-0.79207920792079189,-3.9506172839506171,0,0,0
-0.6930693069306928,-3.9506172839506171,0,0,0
